id,name,host_id,host_name,neighbou_1,latitude,longitude,room_type,price,minimum_ni
"52820434",Stay in a place of your own | 2BR in Hermitage,"368944610",,District 12,36.170409999999997,-86.596680000000006,Entire home/apt,"181","90"
"52835215",BRAND NEW Luxurious Nashville Townhome,"335977682",Allen,District 5,36.206189999999999,-86.766509999999997,Entire home/apt,"113","2"
"52838134","Margaritaville, new, vacation condo","427548387",Carolyn,District 19,36.163789999999999,-86.782899999999998,Entire home/apt,"350","1"
"52852407",Homey place just for you | 2BR in Nashville,"368944610",,District 19,36.152340000000002,-86.783600000000007,Entire home/apt,"350","90"
"52852836",STUNNING BRAND NEW LUXURY!! HEART OF NASHVILLE!,"115067035",LuxorProperties,District 21,36.155690000000000,-86.806870000000004,Entire home/apt,"196","2"
"52860159",Brand new 2 bedroom guest house close to downtown.,"101520395",Stephanie,District 6,36.170630000000003,-86.756190000000004,Entire home/apt,"146","2"
"52861438",The Lillian House ?? Steps to Five Points,"1542713",Brandon,District 6,36.172759999999997,-86.746350000000007,Entire home/apt,"328","3"
"52864525",** TWO BRAND NEW LUXURY HOME IN EAST NASH | CLOSE TO TOP GOLF | ***,"367489105",McKenzie,District 5,36.178339999999999,-86.757610000000000,Entire home/apt,"890","1"
"52864526",**2 SOPHISTICATED HOMES IN EAST NASH | CLOSE TO TOP GOLF | ***,"367489105",McKenzie,District 5,36.180470000000000,-86.757580000000004,Entire home/apt,"806","1"
"52864528",Luxury Home Near Broadway Perfect for All Occasions!!!,"367489105",McKenzie,District 5,36.194220000000001,-86.774019999999993,Entire home/apt,"253","3"
"52876823",Bright 1 BR in Midtown,"391113997",Frontdesk,District 21,36.154705000000000,-86.798691000000005,Entire home/apt,"75","30"
"52876931",Modern 1 BR in Midtown,"391113997",Frontdesk,District 21,36.154705000000000,-86.798691000000005,Entire home/apt,"75","30"
"52876996",Spacious 1 BR in Midtown,"391113997",Frontdesk,District 21,36.154705000000000,-86.798691000000005,Entire home/apt,"114","30"
"52877071",Bright Midtown 1 BR with Balcony,"391113997",Frontdesk,District 21,36.154705000000000,-86.798691000000005,Entire home/apt,"115","30"
"52877743",Sunny 1 BR in Midtown,"391113997",Frontdesk,District 21,36.154705000000000,-86.798691000000005,Entire home/apt,"115","30"
"52878024",Vibrant 1 BR in Midtown,"391113997",Frontdesk,District 21,36.154705000000000,-86.798691000000005,Entire home/apt,"111","30"
"52878119",Midtown 1 BR with Balcony,"391113997",Frontdesk,District 21,36.154705000000000,-86.798691000000005,Entire home/apt,"115","30"
"52878195",Spacious Midtown 1 BR with Balcony,"391113997",Frontdesk,District 21,36.154705000000000,-86.798691000000005,Entire home/apt,"115","30"
"52882409",DOWNTOWN ROCKSTAR - MINS TO BROADWAY,"20772148",GoodNight,District 19,36.168450000000000,-86.801119999999997,Entire home/apt,"271","1"
"52882410",DOWNTOWN LIGHT AND AIRY - MINS TO BROADWAY,"20772148",GoodNight,District 19,36.169640000000001,-86.800860000000000,Entire home/apt,"271","1"
"52884276",A Gentle Breeze in East Nashville?,"310582368",Vien,District 6,36.181139999999999,-86.729249999999993,Entire home/apt,"205","1"
"52890946",Rooftop on 2nd - Quiet Nights & Busy Days,"46392249",Kate,District 17,36.147799999999997,-86.765559999999994,Entire home/apt,"157","29"
