STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
"47","037","012802","47037012802","128.02",Census Tract 128.02,G5020,S,"13012214","777958","+36.1886310","-086.8514560"
"47","037","013500","47037013500","135",Census Tract 135,G5020,S,"1327688","0","+36.1503053","-086.8286316"
"47","037","015618","47037015618","156.18",Census Tract 156.18,G5020,S,"3732283","0","+36.0810830","-086.6188717"
"47","037","017401","47037017401","174.01",Census Tract 174.01,G5020,S,"1908746","0","+36.1133030","-086.7274160"
"47","037","017402","47037017402","174.02",Census Tract 174.02,G5020,S,"3250717","0","+36.1006369","-086.7268831"
"47","037","018101","47037018101","181.01",Census Tract 181.01,G5020,S,"3373771","0","+36.1439615","-086.8662662"
"47","037","013800","47037013800","138",Census Tract 138,G5020,S,"842068","0","+36.1756519","-086.8148041"
"47","037","013900","47037013900","139",Census Tract 139,G5020,S,"917871","0","+36.1757617","-086.8059132"
"47","037","016000","47037016000","160",Census Tract 160,G5020,S,"1703067","0","+36.1472198","-086.7618942"
"47","037","016200","47037016200","162",Census Tract 162,G5020,S,"1834980","8826","+36.1384775","-086.7809810"
"47","037","016100","47037016100","161",Census Tract 161,G5020,S,"3050308","0","+36.1355477","-086.7684992"
"47","037","018901","47037018901","189.01",Census Tract 189.01,G5020,S,"3241929","0","+36.0842377","-086.7415231"
"47","037","018902","47037018902","189.02",Census Tract 189.02,G5020,S,"2085016","0","+36.0753131","-086.7434574"
"47","037","018203","47037018203","182.03",Census Tract 182.03,G5020,S,"2836389","0","+36.1106803","-086.8763684"
"47","037","018602","47037018602","186.02",Census Tract 186.02,G5020,S,"17436224","4486","+36.0643391","-086.8307156"
"47","037","018700","47037018700","187",Census Tract 187,G5020,S,"19580515","302117","+36.0684470","-086.7931275"
"47","037","010701","47037010701","107.01",Census Tract 107.01,G5020,S,"3390727","38574","+36.2583824","-086.7061921"
"47","037","019108","47037019108","191.08",Census Tract 191.08,G5020,S,"1593451","0","+36.0701967","-086.6951775"
"47","037","015501","47037015501","155.01",Census Tract 155.01,G5020,S,"6511636","8440","+36.1740470","-086.6446140"
"47","037","019003","47037019003","190.03",Census Tract 190.03,G5020,S,"1885111","0","+36.0769990","-086.7054402"
"47","037","016600","47037016600","166",Census Tract 166,G5020,S,"1431395","0","+36.1460321","-086.8156833"
