OBJECTID,GEOID,B25001e1,B25001m1,B25002e1,B25002m1,B25002e3,B25002m3,B25003e3,B25003m3,B25004e1,B25004m1,B25004e3,B25004m3,B25004e6,B25004m6,B25004e7,B25004m7
"984",14000US47149040305,1059,64,1059,64,0,12,617,80,0,12,0,12,0,12,0,12
"985",14000US47149040306,2516,113,2516,113,80,90,1873,181,80,90,0,17,0,17,0,17
"986",14000US47149040307,1144,70,1144,70,97,73,37,30,97,73,0,12,0,12,0,12
"987",14000US47149040308,2776,101,2776,101,189,148,907,186,189,148,0,17,0,17,0,17
"988",14000US47149040403,2778,111,2778,111,188,122,1160,239,188,122,0,17,41,64,0,17
"989",14000US47149040501,2862,176,2862,176,92,107,303,154,92,107,0,17,30,49,0,17
"990",14000US47149040502,2994,89,2994,89,177,149,413,214,177,149,42,66,0,17,0,17
"991",14000US47149040600,2044,97,2044,97,121,65,108,62,121,65,0,17,10,18,0,17
"992",14000US47149040701,4395,263,4395,263,201,206,583,207,201,206,0,19,0,19,0,19
"993",14000US47149040702,2397,121,2397,121,136,98,274,133,136,98,0,17,0,17,0,17
"994",14000US47149040805,3444,137,3444,137,208,143,487,144,208,143,0,17,0,17,0,17
"995",14000US47149040806,2638,73,2638,73,91,86,280,147,91,86,0,17,0,17,0,17
"996",14000US47149040807,2275,91,2275,91,71,107,183,88,71,107,0,17,0,17,0,17
"997",14000US47149040808,2899,173,2899,173,132,123,175,105,132,123,0,17,0,17,0,17
"998",14000US47149040809,1642,73,1642,73,88,73,182,118,88,73,0,12,0,12,0,12
"999",14000US47149040810,1168,81,1168,81,88,54,184,55,88,54,0,12,10,14,0,12
"1000",14000US47149040901,1624,118,1624,118,100,72,725,119,100,72,38,60,0,12,0,12
"1001",14000US47149040902,5880,184,5880,184,148,130,2800,326,148,130,24,41,29,49,0,19
"1002",14000US47149040903,5353,153,5353,153,313,206,2474,306,313,206,179,169,0,19,0,19
"1003",14000US47149040904,1770,51,1770,51,74,54,200,80,74,54,0,12,21,35,0,12
"1004",14000US47149040905,4407,175,4407,175,309,197,909,224,309,197,0,19,96,121,0,19
"1005",14000US47149041000,2963,92,2963,92,156,121,671,155,156,121,0,17,0,17,0,17
"1006",14000US47149041101,2886,130,2886,130,137,112,403,141,137,112,0,17,43,66,0,17
"1007",14000US47149041102,1296,108,1296,108,120,91,320,111,120,91,34,50,0,12,0,12
"1008",14000US47149041201,2162,72,2162,72,153,102,205,90,153,102,0,17,0,17,0,17
"1009",14000US47149041202,1675,75,1675,75,127,110,157,81,127,110,0,12,0,12,0,12
"1010",14000US47149041301,2305,57,2305,57,190,137,167,80,190,137,0,17,0,17,0,17
"1011",14000US47149041302,2520,88,2520,88,16,25,839,140,16,25,0,17,0,17,0,17
"1012",14000US47149041401,1994,68,1994,68,203,107,669,134,203,107,30,47,0,12,0,12
"1013",14000US47149041402,3085,106,3085,106,324,164,2278,211,324,164,36,59,0,17,0,17
"1014",14000US47149041403,3840,196,3840,196,202,157,2503,252,202,157,150,153,8,13,0,17
"1015",14000US47149041500,5,7,5,7,0,12,5,7,0,12,0,12,0,12,0,12
"1016",14000US47149041600,2961,148,2961,148,354,176,2155,243,354,176,86,98,31,37,0,17
"1017",14000US47149041700,2436,101,2436,101,60,75,1496,179,60,75,0,17,0,17,0,17
"1018",14000US47149041800,1380,73,1380,73,171,80,857,88,171,80,23,35,0,12,0,12
"1019",14000US47149041900,1946,92,1946,92,240,93,1155,125,240,93,0,12,34,38,0,12
"1020",14000US47149042000,2191,85,2191,85,146,102,776,157,146,102,0,17,0,17,0,17
"1021",14000US47149042100,4470,189,4470,189,451,267,3011,342,451,267,73,119,0,19,0,19
"1022",14000US47149042200,1888,71,1888,71,63,63,891,127,63,63,0,17,40,51,0,17
"1023",14000US47149042300,3430,127,3430,127,244,169,1024,200,244,169,102,111,0,17,0,17
"1024",14000US47151975000,1874,104,1874,104,356,118,381,95,356,118,0,12,33,26,0,12
"1025",14000US47151975100,3214,200,3214,200,307,145,1040,225,307,145,0,17,171,112,0,17
"1026",14000US47151975200,2532,139,2532,139,300,117,770,181,300,117,0,17,12,19,0,17
"1027",14000US47151975300,1086,74,1086,74,144,81,189,72,144,81,0,12,58,50,0,12
"1028",14000US47151975400,1312,81,1312,81,247,100,223,102,247,100,0,12,14,23,0,12
"1029",14000US47153060101,3675,183,3675,183,579,170,959,213,579,170,23,35,87,66,0,17
"1030",14000US47153060102,1093,92,1093,92,165,62,194,62,165,62,0,12,58,35,0,12
"1031",14000US47153060200,1731,144,1731,144,227,102,243,104,227,102,0,12,58,55,0,12
"1032",14000US47155080101,1622,81,1622,81,235,85,433,130,235,85,0,12,63,46,0,12
"1033",14000US47155080102,3037,134,3037,134,395,197,572,176,395,197,0,17,0,17,49,75
"1034",14000US47155080201,3393,131,3393,131,254,150,272,117,254,150,0,17,60,66,0,17
"1035",14000US47155080202,2354,94,2354,94,212,109,274,128,212,109,0,17,136,107,0,17
"1036",14000US47155080300,2488,109,2488,109,182,133,919,172,182,133,0,17,45,72,0,17
"1037",14000US47155080400,3872,164,3872,164,1105,225,703,213,1105,225,50,81,618,204,0,17
"1038",14000US47155080500,2923,216,2923,216,701,179,1181,223,701,179,98,85,268,150,0,17
"1039",14000US47155080601,2001,110,2001,110,237,98,851,142,237,98,0,12,136,68,0,12
"1040",14000US47155080602,4545,171,4545,171,751,235,1011,208,751,235,0,17,424,212,0,17
"1041",14000US47155080700,5349,221,5349,221,1872,264,561,186,1872,264,59,30,1089,238,7,11
"1042",14000US47155080801,1694,105,1694,105,733,88,636,94,733,88,16,26,664,94,0,12
"1043",14000US47155080802,3084,156,3084,156,343,138,1077,209,343,138,0,17,43,68,0,17
"1044",14000US47155080901,3677,114,3677,114,2294,172,451,125,2294,172,276,135,1384,204,0,12
"1045",14000US47155080902,4085,126,4085,126,2284,179,402,125,2284,179,182,103,1446,235,0,12
"1046",14000US47155081000,5222,326,5222,326,2828,304,1169,240,2828,304,219,126,1853,331,0,17
"1047",14000US47155081101,3641,165,3641,165,2929,173,367,124,2929,173,319,107,1710,197,0,12
"1048",14000US47155081102,4437,214,4437,214,2859,212,516,136,2859,212,395,141,1808,241,0,12
"1049",14000US47155980100,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
"1050",14000US47157000100,3372,194,3372,194,287,172,2078,250,287,172,48,79,104,104,0,17
"1051",14000US47157000200,523,55,523,55,124,46,310,62,124,46,9,13,0,12,0,12
"1052",14000US47157000300,445,41,445,41,140,46,181,52,140,46,0,12,0,12,0,12
"1053",14000US47157000400,767,67,767,67,270,66,300,65,270,66,14,23,13,21,0,12
"1054",14000US47157000600,1110,80,1110,80,377,80,342,83,377,80,0,12,0,12,0,12
"1055",14000US47157000700,2660,76,2660,76,560,193,1164,236,560,193,0,12,0,12,0,12
"1056",14000US47157000800,1046,100,1046,100,226,81,516,116,226,81,26,42,0,12,0,12
"1057",14000US47157000900,1381,94,1381,94,298,120,625,130,298,120,34,36,7,11,0,12
"1058",14000US47157001100,1409,76,1409,76,358,100,585,121,358,100,23,35,0,12,0,12
"1059",14000US47157001200,1631,63,1631,63,199,101,746,128,199,101,15,25,0,12,0,12
"1060",14000US47157001300,1668,85,1668,85,506,109,541,130,506,109,0,12,0,12,0,12
"1061",14000US47157001400,687,101,687,101,129,55,361,91,129,55,0,12,6,10,0,12
"1062",14000US47157001500,970,43,970,43,230,63,268,82,230,63,12,19,0,12,0,12
"1063",14000US47157001600,1093,70,1093,70,125,74,313,87,125,74,0,12,0,12,0,12
"1064",14000US47157001700,2079,87,2079,87,303,130,771,138,303,130,0,12,0,12,0,12
"1065",14000US47157001900,703,61,703,61,239,78,216,69,239,78,9,14,0,12,0,12
"1066",14000US47157002000,837,46,837,46,116,50,459,81,116,50,13,21,0,12,0,12
"1067",14000US47157002100,782,33,782,33,90,57,540,83,90,57,32,36,0,12,0,12
"1068",14000US47157002400,1253,71,1253,71,316,80,778,100,316,80,0,12,0,12,0,12
"1069",14000US47157002500,1407,119,1407,119,280,110,650,141,280,110,0,12,0,12,0,12
"1070",14000US47157002600,1375,57,1375,57,183,102,500,115,183,102,0,12,57,63,0,12
"1071",14000US47157002700,871,50,871,50,140,45,433,81,140,45,0,12,0,12,0,12
"1072",14000US47157002800,1608,116,1608,116,161,86,945,129,161,86,0,12,0,12,0,12
"1073",14000US47157002900,2469,52,2469,52,376,152,411,130,376,152,39,63,0,12,0,12
"1074",14000US47157003000,1621,68,1621,68,327,120,642,144,327,120,0,12,54,61,0,12
"1075",14000US47157003100,1873,81,1873,81,229,94,780,173,229,94,45,50,33,40,0,12
"1076",14000US47157003200,2354,138,2354,138,240,134,1690,208,240,134,44,72,0,12,0,12
"1077",14000US47157003300,1235,35,1235,35,83,65,306,86,83,65,0,12,9,14,0,12
"1078",14000US47157003400,1394,63,1394,63,175,88,878,117,175,88,18,30,0,12,0,12
"1079",14000US47157003500,1770,31,1770,31,264,107,664,112,264,107,0,12,23,38,0,12
"1080",14000US47157003600,1295,82,1295,82,402,104,776,125,402,104,0,12,0,12,0,12
"1081",14000US47157003700,994,39,994,39,145,57,849,69,145,57,0,12,13,21,0,12
"1082",14000US47157003800,664,26,664,26,73,41,591,47,73,41,0,12,0,12,0,12
