OBJECTID,GEOID,B25001e1,B25001m1,B25002e1,B25002m1,B25002e3,B25002m3,B25003e3,B25003m3,B25004e1,B25004m1,B25004e3,B25004m3,B25004e6,B25004m6,B25004e7,B25004m7
"1200",14000US47157021126,2066,89,2066,89,120,110,1205,160,120,110,31,51,0,17,0,17
"1201",14000US47157021135,3070,63,3070,63,295,177,1381,294,295,177,0,17,0,17,0,17
"1202",14000US47157021136,1941,42,1941,42,68,76,253,103,68,76,0,17,42,66,0,17
"1203",14000US47157021137,3667,82,3667,82,243,164,1388,224,243,164,0,17,0,17,0,17
"1204",14000US47157021138,1551,33,1551,33,77,70,584,139,77,70,25,42,0,12,0,12
"1205",14000US47157021139,1541,38,1541,38,99,66,123,66,99,66,0,12,21,32,0,12
"1206",14000US47157021140,2254,45,2254,45,111,121,822,155,111,121,0,17,0,17,0,17
"1207",14000US47157021141,3016,60,3016,60,273,148,1015,234,273,148,0,17,31,50,0,17
"1208",14000US47157021142,1844,38,1844,38,118,88,857,134,118,88,30,46,0,12,0,12
"1209",14000US47157021200,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
"1210",14000US47157021311,2318,97,2318,97,182,155,545,165,182,155,0,12,0,12,0,12
"1211",14000US47157021312,1323,35,1323,35,137,93,736,103,137,93,0,12,39,61,0,12
"1212",14000US47157021320,2727,55,2727,55,187,142,1172,198,187,142,0,17,0,17,0,17
"1213",14000US47157021331,1408,38,1408,38,90,82,154,66,90,82,69,81,0,12,0,12
"1214",14000US47157021333,1766,36,1766,36,131,108,585,162,131,108,0,12,0,12,0,12
"1215",14000US47157021334,1881,40,1881,40,117,72,1377,111,117,72,0,12,0,12,0,12
"1216",14000US47157021341,2066,63,2066,63,92,77,361,131,92,77,0,17,0,17,0,17
"1217",14000US47157021342,5094,212,5094,212,169,193,3078,254,169,193,0,19,0,19,0,19
"1218",14000US47157021351,2186,139,2186,139,282,152,542,152,282,152,48,78,0,12,0,12
"1219",14000US47157021352,2428,72,2428,72,106,104,211,95,106,104,49,75,13,21,0,17
"1220",14000US47157021353,3199,112,3199,112,11,19,49,49,11,19,0,17,0,17,0,17
"1221",14000US47157021410,1201,40,1201,40,60,48,180,50,60,48,0,12,37,38,0,12
"1222",14000US47157021420,1320,49,1320,49,36,43,180,56,36,43,0,12,0,12,0,12
"1223",14000US47157021430,1820,74,1820,74,168,80,334,98,168,80,0,12,0,12,0,12
"1224",14000US47157021510,3844,137,3844,137,341,181,1701,234,341,181,47,76,41,67,0,17
"1225",14000US47157021520,5562,286,5562,286,340,250,2235,370,340,250,63,98,183,172,0,19
"1226",14000US47157021530,1986,58,1986,58,54,70,243,92,54,70,0,17,0,17,0,17
"1227",14000US47157021540,4060,108,4060,108,49,61,625,173,49,61,0,19,0,19,0,19
"1228",14000US47157021611,2149,67,2149,67,0,17,355,156,0,17,0,17,0,17,0,17
"1229",14000US47157021612,1577,54,1577,54,0,12,80,45,0,12,0,12,0,12,0,12
"1230",14000US47157021613,1509,55,1509,55,0,12,60,50,0,12,0,12,0,12,0,12
"1231",14000US47157021620,1186,66,1186,66,58,52,591,106,58,52,0,12,0,12,0,12
"1232",14000US47157021710,1479,40,1479,40,124,55,1139,89,124,55,21,25,0,12,0,12
"1233",14000US47157021721,2394,45,2394,45,424,126,1734,154,424,126,17,26,0,12,0,12
"1234",14000US47157021724,998,38,998,38,80,42,663,66,80,42,11,18,0,12,0,12
"1235",14000US47157021725,2771,67,2771,67,494,134,2238,179,494,134,48,43,0,12,0,12
"1236",14000US47157021726,2752,77,2752,77,674,159,1796,198,674,159,16,28,0,12,0,12
"1237",14000US47157021731,1008,57,1008,57,152,58,592,77,152,58,0,12,0,12,0,12
"1238",14000US47157021732,3041,72,3041,72,416,163,2034,244,416,163,0,17,0,17,0,17
"1239",14000US47157021741,2901,68,2901,68,148,112,1260,311,148,112,0,17,0,17,0,17
"1240",14000US47157021744,2153,40,2153,40,91,75,480,132,91,75,0,17,0,17,0,17
"1241",14000US47157021745,2708,109,2708,109,133,119,587,195,133,119,0,17,0,17,0,17
"1242",14000US47157021746,2083,52,2083,52,211,114,1151,173,211,114,0,12,0,12,0,12
"1243",14000US47157021747,1434,34,1434,34,137,79,474,149,137,79,28,45,0,12,0,12
"1244",14000US47157021751,2315,98,2315,98,180,140,380,153,180,140,0,17,0,17,0,17
"1245",14000US47157021752,1748,68,1748,68,0,12,606,141,0,12,0,12,0,12,0,12
"1246",14000US47157021753,1105,50,1105,50,31,33,179,90,31,33,0,12,0,12,0,12
"1247",14000US47157021754,1667,41,1667,41,107,87,565,120,107,87,17,29,0,12,0,12
"1248",14000US47157021900,2022,53,2022,53,232,98,797,163,232,98,0,17,0,17,0,17
"1249",14000US47157022022,2625,97,2625,97,1190,143,1162,170,1190,143,54,50,15,24,13,21
"1250",14000US47157022023,1663,43,1663,43,1062,66,341,77,1062,66,0,12,0,12,0,12
"1251",14000US47157022024,1257,78,1257,78,32,41,316,105,32,41,0,12,0,12,0,12
"1252",14000US47157022111,2508,98,2508,98,287,128,1331,215,287,128,38,62,0,17,0,17
"1253",14000US47157022112,2834,45,2834,45,376,142,1797,175,376,142,27,45,0,17,0,17
"1254",14000US47157022121,1778,52,1778,52,185,79,446,118,185,79,0,12,0,12,0,12
"1255",14000US47157022122,1954,76,1954,76,430,135,719,157,430,135,0,12,0,12,0,12
"1256",14000US47157022130,2373,69,2373,69,344,111,724,210,344,111,0,17,0,17,0,17
"1257",14000US47157022210,1791,47,1791,47,316,103,460,127,316,103,0,12,0,12,0,12
"1258",14000US47157022220,1819,87,1819,87,520,132,670,168,520,132,0,12,0,12,0,12
"1259",14000US47157022310,2429,53,2429,53,281,148,1275,248,281,148,0,17,0,17,0,17
"1260",14000US47157022321,1622,53,1622,53,252,118,668,133,252,118,0,12,0,12,0,12
"1261",14000US47157022322,1737,33,1737,33,164,98,403,147,164,98,0,12,0,12,0,12
"1262",14000US47157022330,1920,75,1920,75,221,90,627,142,221,90,0,12,0,12,0,12
"1263",14000US47157022410,2611,46,2611,46,307,146,537,185,307,146,0,17,17,28,0,17
"1264",14000US47157022500,2020,97,2020,97,372,94,687,129,372,94,20,31,0,17,0,17
"1265",14000US47157022600,1792,44,1792,44,464,124,803,141,464,124,38,44,0,12,0,12
"1266",14000US47157022700,2847,136,2847,136,312,154,1021,251,312,154,43,69,0,17,0,17
"1267",14000US47157980100,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
"1268",14000US47157980200,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
"1269",14000US47157980300,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
"1270",14000US47157980400,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
"1271",14000US47159975000,2024,64,2024,64,387,109,332,99,387,109,0,12,227,93,0,12
"1272",14000US47159975100,1335,59,1335,59,118,58,487,81,118,58,0,12,16,25,0,12
"1273",14000US47159975200,2402,102,2402,102,177,81,640,146,177,81,0,17,55,58,0,17
"1274",14000US47159975300,1025,54,1025,54,294,69,120,51,294,69,0,12,145,64,0,12
"1275",14000US47159975400,2008,64,2008,64,215,99,406,110,215,99,30,42,59,59,0,12
"1276",14000US47161110200,3139,118,3139,118,625,214,640,212,625,214,40,62,206,119,0,17
"1277",14000US47161110600,1283,74,1283,74,314,97,146,59,314,97,0,12,129,77,0,12
"1278",14000US47161110700,2441,95,2441,95,746,129,508,100,746,129,0,12,440,115,0,12
"1279",14000US47161980100,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
"1280",14000US47161980200,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
"1281",14000US47163040200,1383,87,1383,87,151,69,839,118,151,69,0,12,0,12,0,12
"1282",14000US47163040300,1474,63,1474,63,153,85,598,111,153,85,0,12,0,12,0,12
"1283",14000US47163040500,2151,77,2151,77,390,116,910,151,390,116,24,39,20,32,0,12
"1284",14000US47163040600,1765,83,1765,83,428,122,738,124,428,122,25,39,36,44,0,12
"1285",14000US47163040700,1254,45,1254,45,53,58,408,83,53,58,0,12,0,12,0,12
"1286",14000US47163040800,1797,49,1797,49,233,88,635,134,233,88,0,12,21,34,0,12
"1287",14000US47163040900,1535,57,1535,57,178,101,380,109,178,101,0,12,27,43,0,12
"1288",14000US47163041000,1890,42,1890,42,119,75,267,101,119,75,0,12,29,45,0,12
"1289",14000US47163041100,1294,41,1294,41,172,101,346,108,172,101,0,12,0,12,0,12
"1290",14000US47163041200,3059,75,3059,75,167,130,712,221,167,130,0,17,0,17,0,17
"1291",14000US47163041300,2106,76,2106,76,277,131,433,116,277,131,0,12,0,12,0,12
"1292",14000US47163041400,2644,101,2644,101,500,181,347,156,500,181,0,17,0,17,0,17
"1293",14000US47163041500,1293,45,1293,45,82,64,151,64,82,64,0,12,63,59,0,12
"1294",14000US47163041600,1232,69,1232,69,49,50,393,111,49,50,30,45,0,12,0,12
"1295",14000US47163041700,1694,41,1694,41,151,64,482,118,151,64,0,12,24,39,0,12
"1296",14000US47163041800,2423,122,2423,122,389,191,942,210,389,191,0,12,49,76,0,12
"1297",14000US47163041900,1523,66,1523,66,206,81,230,86,206,81,0,12,0,12,0,12
"1298",14000US47163042000,1631,69,1631,69,165,83,463,130,165,83,29,46,20,22,0,12
"1299",14000US47163042100,2791,101,2791,101,159,139,1024,197,159,139,0,17,0,17,0,17
"1300",14000US47163042200,1312,94,1312,94,133,84,238,90,133,84,0,12,0,12,0,12
"1301",14000US47163042300,2993,97,2993,97,353,157,395,163,353,157,37,62,55,69,0,17
"1302",14000US47163042400,1661,70,1661,70,148,94,475,133,148,94,0,12,21,33,0,12
"1303",14000US47163042500,1607,68,1607,68,212,111,265,115,212,111,0,12,18,26,0,12
"1304",14000US47163042600,1959,91,1959,91,161,85,626,124,161,85,21,34,15,17,0,12
"1305",14000US47163042701,2626,152,2626,152,431,171,1241,196,431,171,68,81,0,12,0,12
"1306",14000US47163042702,1086,59,1086,59,105,70,313,76,105,70,0,12,26,41,0,12
"1307",14000US47163042801,1222,58,1222,58,120,64,329,86,120,64,0,12,0,12,0,12
"1308",14000US47163042802,1967,133,1967,133,180,98,543,114,180,98,0,12,0,12,0,12
"1309",14000US47163042900,2045,98,2045,98,171,96,340,93,171,96,0,12,0,12,0,12
"1310",14000US47163043000,2026,93,2026,93,224,118,275,99,224,118,0,12,0,12,0,12
"1311",14000US47163043100,1539,73,1539,73,346,127,139,66,346,127,0,12,139,92,0,12
"1312",14000US47163043201,1852,58,1852,58,121,62,213,95,121,62,0,12,27,32,0,12
"1313",14000US47163043202,2211,111,2211,111,331,165,337,148,331,165,0,12,241,147,0,12
"1314",14000US47163043301,2941,101,2941,101,463,160,543,154,463,160,0,17,331,139,0,17
"1315",14000US47163043302,2763,146,2763,146,188,86,625,161,188,86,30,46,70,58,0,17
"1316",14000US47163043401,2437,131,2437,131,213,130,487,171,213,130,0,17,143,120,0,17
"1317",14000US47163043402,2081,87,2081,87,290,138,469,145,290,138,0,12,62,61,0,12
"1318",14000US47163043500,1817,68,1817,68,237,76,229,92,237,76,39,42,75,54,0,12
"1319",14000US47163043600,2121,67,2121,67,245,96,347,97,245,96,0,12,25,40,0,12
"1320",14000US47165020101,1366,86,1366,86,64,58,395,94,64,58,0,12,17,27,0,12
"1321",14000US47165020102,2133,84,2133,84,314,110,521,113,314,110,0,17,0,17,0,17
"1322",14000US47165020203,956,39,956,39,36,31,150,53,36,31,0,12,8,13,0,12
"1323",14000US47165020204,1255,83,1255,83,56,47,128,64,56,47,0,12,0,12,0,12
"1324",14000US47165020205,1048,72,1048,72,0,12,221,61,0,12,0,12,0,12,0,12
"1325",14000US47165020206,537,28,537,28,44,30,120,45,44,30,0,12,22,24,0,12
"1326",14000US47165020207,768,28,768,28,61,49,231,60,61,49,0,12,0,12,0,12
"1327",14000US47165020208,993,72,993,72,35,32,254,70,35,32,0,12,5,10,0,12
"1328",14000US47165020209,792,44,792,44,60,40,64,33,60,40,0,12,16,20,14,22
"1329",14000US47165020300,2166,152,2166,152,301,145,841,153,301,145,0,17,0,17,0,17
"1330",14000US47165020403,815,37,815,37,84,56,107,53,84,56,0,12,9,15,0,12
"1331",14000US47165020404,837,38,837,38,108,50,121,47,108,50,0,12,24,25,0,12
"1332",14000US47165020405,916,38,916,38,32,30,171,63,32,30,0,12,0,12,0,12
"1333",14000US47165020406,1345,104,1345,104,57,60,99,56,57,60,0,12,0,12,0,12
"1334",14000US47165020407,1715,73,1715,73,39,42,216,77,39,42,0,12,0,12,0,12
"1335",14000US47165020501,3058,144,3058,144,339,235,913,179,339,235,104,114,0,17,0,17
"1336",14000US47165020502,2040,84,2040,84,47,51,162,67,47,51,0,17,0,17,0,17
"1337",14000US47165020503,976,58,976,58,72,48,144,64,72,48,0,12,42,38,0,12
"1338",14000US47165020601,1394,65,1394,65,79,54,133,74,79,54,0,12,13,15,0,12
"1339",14000US47165020602,1766,70,1766,70,150,80,219,117,150,80,0,12,0,12,29,46
"1340",14000US47165020603,1437,63,1437,63,87,67,141,75,87,67,27,45,9,15,0,12
"1341",14000US47165020700,2175,151,2175,151,84,84,972,174,84,84,35,55,12,21,0,17
"1342",14000US47165020800,2740,174,2740,174,320,157,1315,241,320,157,34,53,0,17,0,17
"1343",14000US47165020901,539,47,539,47,57,46,86,40,57,46,0,12,0,12,0,12
"1344",14000US47165020902,3086,165,3086,165,185,143,1231,225,185,143,0,17,0,17,0,17
"1345",14000US47165020903,1833,106,1833,106,202,100,420,89,202,100,24,38,0,12,0,12
"1346",14000US47165021002,2853,130,2853,130,149,115,630,176,149,115,0,17,0,17,0,17
"1347",14000US47165021004,1780,133,1780,133,35,43,522,122,35,43,0,12,9,13,0,12
"1348",14000US47165021005,2261,187,2261,187,148,110,407,178,148,110,0,17,13,25,0,17
"1349",14000US47165021006,1222,40,1222,40,46,45,91,59,46,45,0,12,0,12,0,12
"1350",14000US47165021007,1067,59,1067,59,60,49,66,40,60,49,0,12,0,12,0,12
"1351",14000US47165021008,2073,103,2073,103,68,62,268,97,68,62,0,17,0,17,22,37
"1352",14000US47165021009,2182,84,2182,84,141,112,762,153,141,112,45,71,0,17,0,17
"1353",14000US47165021103,2245,69,2245,69,0,17,381,172,0,17,0,17,0,17,0,17
"1354",14000US47165021104,761,54,761,54,27,26,189,60,27,26,0,12,7,10,0,12
"1355",14000US47165021105,2702,123,2702,123,309,183,1245,187,309,183,0,17,0,17,40,63
"1356",14000US47165021106,1930,87,1930,87,122,78,947,126,122,78,0,12,25,29,0,12
"1357",14000US47165021107,2387,67,2387,67,217,114,1013,158,217,114,0,12,81,93,0,12
"1358",14000US47165021201,2462,74,2462,74,77,77,129,85,77,77,0,17,0,17,0,17
"1359",14000US47165021203,2992,78,2992,78,227,174,688,166,227,174,0,17,19,29,0,17
"1360",14000US47165021204,3179,139,3179,139,214,160,903,193,214,160,0,17,0,17,0,17
"1361",14000US47165021205,1081,56,1081,56,21,32,79,47,21,32,0,12,0,12,0,12
"1362",14000US47167040100,1918,105,1918,105,189,98,503,140,189,98,0,17,0,17,0,17
"1363",14000US47167040200,793,59,793,59,137,53,152,50,137,53,0,12,6,7,0,12
"1364",14000US47167040302,3504,236,3504,236,311,154,540,150,311,154,61,72,0,17,0,17
"1365",14000US47167040303,2549,193,2549,193,214,146,734,222,214,146,0,17,0,17,0,17
"1366",14000US47167040304,2472,190,2472,190,213,135,609,185,213,135,0,17,39,61,0,17
"1367",14000US47167040400,1245,76,1245,76,153,74,235,75,153,74,0,12,9,12,4,7
"1368",14000US47167040500,2433,158,2433,158,232,124,415,139,232,124,21,26,0,17,0,17
"1369",14000US47167040601,1937,115,1937,115,126,84,553,148,126,84,38,49,0,17,0,17
"1370",14000US47167040602,1382,89,1382,89,95,74,542,132,95,74,0,12,28,43,0,12
"1371",14000US47167040700,2348,168,2348,168,297,175,1367,200,297,175,0,12,0,12,0,12
"1372",14000US47167040800,1555,71,1555,71,142,80,181,65,142,80,0,12,0,12,0,12
"1373",14000US47167040900,678,49,678,49,82,46,83,40,82,46,0,12,8,12,0,12
"1374",14000US47167041000,1019,82,1019,82,190,54,233,52,190,54,14,17,0,12,0,12
"1375",14000US47169090100,2495,142,2495,142,292,131,292,125,292,131,0,17,19,27,0,17
"1376",14000US47169090200,1115,119,1115,119,129,89,383,105,129,89,0,12,49,47,0,12
"1377",14000US47171080100,1526,130,1526,130,411,98,223,83,411,98,0,12,54,52,0,12
"1378",14000US47171080200,2873,173,2873,173,204,135,827,202,204,135,0,17,0,17,0,17
"1379",14000US47171080300,2485,198,2485,198,336,132,616,172,336,132,39,59,71,65,0,17
"1380",14000US47171080400,2019,217,2019,217,294,104,484,128,294,104,0,12,64,61,0,12
"1381",14000US47173040100,3243,106,3243,106,520,169,613,147,520,169,12,17,47,51,0,17
"1382",14000US47173040201,1677,76,1677,76,208,74,510,91,208,74,0,12,0,12,0,12
"1383",14000US47173040202,2798,134,2798,134,623,178,487,173,623,178,0,17,264,142,0,17
"1384",14000US47173040300,1663,65,1663,65,625,143,211,89,625,143,0,12,315,104,0,12
"1385",14000US47175925000,1250,64,1250,64,215,90,136,76,215,90,0,12,0,12,0,12
"1386",14000US47175925200,1442,65,1442,65,336,98,261,81,336,98,0,12,103,65,0,12
"1387",14000US47177930100,1666,116,1666,116,290,98,165,84,290,98,25,38,23,37,0,12
"1388",14000US47177930200,2971,148,2971,148,364,163,748,231,364,163,0,17,110,105,0,17
"1389",14000US47177930300,1112,83,1112,83,78,62,157,82,78,62,0,12,0,12,0,12
"1390",14000US47177930400,2780,147,2780,147,460,155,1233,207,460,155,0,17,0,17,0,17
"1391",14000US47177930500,2139,147,2139,147,183,83,914,170,183,83,0,17,0,17,0,17
"1392",14000US47177930600,1792,102,1792,102,341,139,567,139,341,139,0,12,37,51,0,12
"1393",14000US47177930700,2074,102,2074,102,100,72,577,134,100,72,0,17,0,17,0,17
"1394",14000US47177930800,2646,135,2646,135,363,142,328,96,363,142,0,17,5,9,0,17
"1395",14000US47177930900,795,86,795,86,69,51,112,63,69,51,0,12,30,34,0,12
"1396",14000US47179060100,2096,100,2096,100,368,140,1370,183,368,140,71,63,99,67,0,12
"1397",14000US47179060400,3422,134,3422,134,435,187,1160,222,435,187,51,81,93,101,0,17
"1398",14000US47179060501,2451,99,2451,99,216,153,909,213,216,153,0,17,84,95,0,17
"1399",14000US47179060502,2975,158,2975,158,285,155,1175,226,285,155,98,75,44,70,0,17
"1400",14000US47179060600,3399,135,3399,135,313,167,1745,217,313,167,0,17,110,103,0,17
"1401",14000US47179060700,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
"1402",14000US47179060800,1618,90,1618,90,380,116,727,128,380,116,55,52,94,72,0,12
"1403",14000US47179060900,2862,109,2862,109,428,196,1661,217,428,196,100,111,0,17,0,17
"1404",14000US47179061000,1303,91,1303,91,246,126,626,150,246,126,33,54,0,12,0,12
"1405",14000US47179061100,2216,109,2216,109,231,147,656,151,231,147,0,12,0,12,0,12
"1406",14000US47179061200,1916,99,1916,99,292,114,679,158,292,114,0,12,56,63,0,12
"1407",14000US47179061300,3765,217,3765,217,269,163,1365,248,269,163,0,17,40,59,0,17
"1408",14000US47179061401,2561,148,2561,148,336,157,371,140,336,157,0,17,122,114,0,17
"1409",14000US47179061402,3718,145,3718,145,218,154,1333,244,218,154,0,17,55,85,0,17
"1410",14000US47179061500,3702,132,3702,132,490,171,1128,224,490,171,0,17,0,17,0,17
"1411",14000US47179061601,1929,85,1929,85,126,74,135,62,126,74,0,12,36,44,0,12
"1412",14000US47179061602,4130,152,4130,152,644,198,419,153,644,198,0,17,53,66,0,17
"1413",14000US47179061701,2528,153,2528,153,75,83,693,197,75,83,31,46,0,17,0,17
"1414",14000US47179061702,3095,205,3095,205,278,152,456,111,278,152,0,17,197,132,0,17
"1415",14000US47179061800,3126,145,3126,145,311,171,367,122,311,171,0,17,24,41,0,17
"1416",14000US47179061901,3195,172,3195,172,155,123,574,213,155,123,0,17,0,17,0,17
"1417",14000US47179061902,2338,77,2338,77,250,117,377,124,250,117,0,17,27,31,0,17
"1418",14000US47179062000,2078,123,2078,123,218,137,1251,180,218,137,22,35,0,12,0,12
"1419",14000US47181950100,1579,131,1579,131,385,113,241,89,385,113,0,12,35,29,0,12
"1420",14000US47181950200,2621,138,2621,138,610,196,589,157,610,196,0,17,72,75,0,17
"1421",14000US47181950300,1697,89,1697,89,280,93,353,101,280,93,0,12,42,47,0,12
"1422",14000US47181950400,1452,90,1452,90,310,102,118,64,310,102,0,12,66,65,0,12
"1423",14000US47183968000,640,41,640,41,114,52,57,38,114,52,0,12,19,29,0,12
"1424",14000US47183968101,1660,160,1660,160,180,84,687,148,180,84,0,12,19,30,0,12
"1425",14000US47183968102,953,43,953,43,153,58,186,54,153,58,0,12,0,12,0,12
"1426",14000US47183968201,2359,116,2359,116,222,93,706,130,222,93,0,12,0,12,0,12
"1427",14000US47183968202,395,58,395,58,175,56,220,60,175,56,13,20,0,12,0,12
"1428",14000US47183968203,1494,151,1494,151,228,98,851,166,228,98,0,12,0,12,0,12
"1429",14000US47183968300,1200,58,1200,58,173,68,407,94,173,68,0,12,0,12,0,12
"1430",14000US47183968400,2086,185,2086,185,114,80,661,160,114,80,0,12,14,23,0,12
"1431",14000US47183968500,2153,135,2153,135,234,101,435,106,234,101,0,12,0,12,0,12
"1432",14000US47183968600,1918,84,1918,84,288,107,457,102,288,107,0,12,0,12,0,12
"1433",14000US47183968700,757,66,757,66,94,56,69,42,94,56,0,12,34,26,0,12
"1434",14000US47185935000,1968,103,1968,103,251,98,168,81,251,98,0,12,58,61,0,12
"1435",14000US47185935100,2549,118,2549,118,354,133,190,104,354,133,0,17,41,65,0,17
"1436",14000US47185935200,1822,95,1822,95,248,102,294,104,248,102,0,12,42,46,0,12
"1437",14000US47185935300,2352,118,2352,118,461,170,610,180,461,170,0,17,0,17,0,17
"1438",14000US47185935400,1513,126,1513,126,224,92,490,114,224,92,0,12,16,24,0,12
"1439",14000US47185935500,1697,68,1697,68,315,97,257,95,315,97,0,12,31,46,0,12
"1440",14000US47187050101,3513,190,3513,190,155,124,432,141,155,124,0,19,0,19,0,19
"1441",14000US47187050102,1606,157,1606,157,41,66,33,28,41,66,0,17,41,66,0,17
"1442",14000US47187050103,2078,128,2078,128,58,61,88,54,58,61,0,17,0,17,0,17
"1443",14000US47187050203,2090,69,2090,69,103,85,151,68,103,85,0,17,0,17,0,17
"1444",14000US47187050204,1756,56,1756,56,40,61,28,27,40,61,0,17,0,17,0,17
"1445",14000US47187050205,1219,42,1219,42,0,12,48,35,0,12,0,12,0,12,0,12
"1446",14000US47187050206,959,48,959,48,6,10,25,22,6,10,0,12,0,12,0,12
"1447",14000US47187050207,1349,46,1349,46,49,39,29,26,49,39,0,12,22,32,0,12
"1448",14000US47187050208,3758,117,3758,117,439,215,2033,208,439,215,0,17,63,107,0,17
"1449",14000US47187050303,1001,32,1001,32,33,30,20,12,33,30,0,12,0,12,0,12
"1450",14000US47187050304,1101,54,1101,54,119,73,397,74,119,73,0,12,22,35,0,12
"1451",14000US47187050305,974,36,974,36,18,21,42,35,18,21,0,12,0,12,0,12
"1452",14000US47187050306,724,45,724,45,31,29,79,49,31,29,0,12,0,12,0,12
"1453",14000US47187050307,2096,89,2096,89,193,99,1060,152,193,99,25,38,0,12,0,12
"1454",14000US47187050403,720,27,720,27,15,17,31,19,15,17,0,12,11,16,0,12
"1455",14000US47187050404,2187,93,2187,93,0,17,16,26,0,17,0,17,0,17,0,17
"1456",14000US47187050405,950,47,950,47,73,59,30,20,73,59,0,12,14,21,0,12
"1457",14000US47187050406,2064,112,2064,112,55,61,308,105,55,61,0,17,0,17,0,17
"1458",14000US47187050502,1607,102,1607,102,150,79,306,111,150,79,0,12,39,41,0,12
"1459",14000US47187050503,1987,97,1987,97,153,88,246,103,153,88,0,17,0,17,0,17
"1460",14000US47187050504,1452,84,1452,84,58,60,322,96,58,60,0,12,0,12,0,12
"1461",14000US47187050601,2342,99,2342,99,18,28,625,131,18,28,0,17,0,17,0,17
"1462",14000US47187050602,4561,164,4561,164,163,126,918,199,163,126,0,19,46,73,0,19
"1463",14000US47187050701,1661,60,1661,60,19,27,323,124,19,27,19,27,0,12,0,12
"1464",14000US47187050702,1498,64,1498,64,6,10,86,66,6,10,0,12,0,12,0,12
"1465",14000US47187050800,2754,189,2754,189,213,164,1173,255,213,164,0,17,0,17,0,17
"1466",14000US47187050904,2135,124,2135,124,116,100,943,140,116,100,0,17,0,17,0,17
"1467",14000US47187050905,2934,84,2934,84,201,159,1380,213,201,159,0,17,41,62,0,17
"1468",14000US47187050906,2109,64,2109,64,22,33,248,75,22,33,0,17,0,17,0,17
"1469",14000US47187050907,2219,134,2219,134,27,30,549,169,27,30,0,17,0,17,0,17
"1470",14000US47187050908,1452,40,1452,40,66,62,86,58,66,62,0,12,0,12,0,12
"1471",14000US47187050909,1487,54,1487,54,69,50,71,62,69,50,0,12,0,12,0,12
"1472",14000US47187051001,2456,85,2456,85,62,71,80,65,62,71,0,17,0,17,0,17
"1473",14000US47187051002,3273,179,3273,179,78,103,782,229,78,103,0,17,62,100,0,17
"1474",14000US47187051100,2891,183,2891,183,0,17,371,150,0,17,0,17,0,17,0,17
"1475",14000US47187051201,3326,185,3326,185,371,167,362,116,371,167,0,17,129,106,0,17
"1476",14000US47187051202,9483,437,9483,437,697,363,1421,384,697,363,0,23,0,23,0,23
"1477",14000US47189030101,3456,152,3456,152,244,161,356,121,244,161,0,17,131,123,0,17
"1478",14000US47189030102,2833,111,2833,111,141,126,462,182,141,126,0,17,0,17,0,17
"1479",14000US47189030202,3018,106,3018,106,110,112,596,192,110,112,0,17,53,81,0,17
"1480",14000US47189030203,2119,91,2119,91,28,36,499,116,28,36,0,17,0,17,0,17
"1481",14000US47189030204,3527,162,3527,162,337,205,397,147,337,205,40,58,34,41,0,17
"1482",14000US47189030303,1797,70,1797,70,123,72,152,81,123,72,0,12,75,54,0,12
"1483",14000US47189030304,2652,99,2652,99,118,93,302,192,118,93,0,17,31,49,0,17
"1484",14000US47189030305,2152,81,2152,81,46,72,354,183,46,72,0,17,0,17,0,17
"1485",14000US47189030307,3650,183,3650,183,152,139,795,194,152,139,0,17,0,17,0,17
"1486",14000US47189030308,1570,59,1570,59,30,45,181,76,30,45,0,17,0,17,0,17
"1487",14000US47189030309,1872,118,1872,118,34,46,287,95,34,46,0,17,0,17,0,17
"1488",14000US47189030401,1015,55,1015,55,48,42,484,80,48,42,0,12,0,12,0,12
"1489",14000US47189030402,1874,91,1874,91,218,93,1060,147,218,93,0,12,23,36,0,12
"1490",14000US47189030500,2826,131,2826,131,185,135,1132,226,185,135,0,17,0,17,0,17
"1491",14000US47189030600,1763,97,1763,97,192,97,731,155,192,97,0,12,0,12,0,12
"1492",14000US47189030700,1571,93,1571,93,236,108,860,116,236,108,0,12,25,38,0,12
"1493",14000US47189030800,2321,141,2321,141,195,125,489,188,195,125,0,17,0,17,0,17
"1494",14000US47189030901,4897,211,4897,211,537,258,1250,273,537,258,116,173,138,123,0,19
"1495",14000US47189030903,4122,136,4122,136,97,84,430,109,97,84,0,19,43,66,0,19
"1496",14000US47189030904,1852,84,1852,84,265,113,276,106,265,113,0,12,84,74,0,12
"1497",14000US47189031000,2452,160,2452,160,339,153,415,121,339,153,0,17,74,81,0,17
