"GEO_ID","NAME","H1_001N","H1_002N","H1_003N"
"id","Geographic Area Name"," !!Total:"," !!Total:!!Occupied"," !!Total:!!Vacant"
"1000000US470370101041014","Block 1014, Block Group 1, Census Tract 101.04, Davidson County, Tennessee","40","40","0"
"1000000US470370101041015","Block 1015, Block Group 1, Census Tract 101.04, Davidson County, Tennessee","39","37","2"
"1000000US470370101041016","Block 1016, Block Group 1, Census Tract 101.04, Davidson County, Tennessee","53","53","0"
"1000000US470370101041017","Block 1017, Block Group 1, Census Tract 101.04, Davidson County, Tennessee","4","4","0"
"1000000US470370101041018","Block 1018, Block Group 1, Census Tract 101.04, Davidson County, Tennessee","32","32","0"
"1000000US470370101041019","Block 1019, Block Group 1, Census Tract 101.04, Davidson County, Tennessee","88","77","11"
"1000000US470370101041020","Block 1020, Block Group 1, Census Tract 101.04, Davidson County, Tennessee","1","1","0"
"1000000US470370101041021","Block 1021, Block Group 1, Census Tract 101.04, Davidson County, Tennessee","0","0","0"
"1000000US470370101041022","Block 1022, Block Group 1, Census Tract 101.04, Davidson County, Tennessee","2","2","0"
"1000000US470370101041023","Block 1023, Block Group 1, Census Tract 101.04, Davidson County, Tennessee","53","53","0"
"1000000US470370101041024","Block 1024, Block Group 1, Census Tract 101.04, Davidson County, Tennessee","18","18","0"
"1000000US470370101042000","Block 2000, Block Group 2, Census Tract 101.04, Davidson County, Tennessee","20","20","0"
"1000000US470370101042001","Block 2001, Block Group 2, Census Tract 101.04, Davidson County, Tennessee","33","27","6"
"1000000US470370101042002","Block 2002, Block Group 2, Census Tract 101.04, Davidson County, Tennessee","8","8","0"
"1000000US470370101042003","Block 2003, Block Group 2, Census Tract 101.04, Davidson County, Tennessee","9","5","4"
"1000000US470370101042004","Block 2004, Block Group 2, Census Tract 101.04, Davidson County, Tennessee","130","122","8"
"1000000US470370101042005","Block 2005, Block Group 2, Census Tract 101.04, Davidson County, Tennessee","1","0","1"
"1000000US470370101042006","Block 2006, Block Group 2, Census Tract 101.04, Davidson County, Tennessee","0","0","0"
"1000000US470370101042007","Block 2007, Block Group 2, Census Tract 101.04, Davidson County, Tennessee","6","6","0"
"1000000US470370101042008","Block 2008, Block Group 2, Census Tract 101.04, Davidson County, Tennessee","38","38","0"
"1000000US470370101042009","Block 2009, Block Group 2, Census Tract 101.04, Davidson County, Tennessee","2","2","0"
"1000000US470370101042010","Block 2010, Block Group 2, Census Tract 101.04, Davidson County, Tennessee","41","41","0"
"1000000US470370101042011","Block 2011, Block Group 2, Census Tract 101.04, Davidson County, Tennessee","0","0","0"
"1000000US470370101042012","Block 2012, Block Group 2, Census Tract 101.04, Davidson County, Tennessee","81","74","7"
"1000000US470370101042013","Block 2013, Block Group 2, Census Tract 101.04, Davidson County, Tennessee","12","3","9"
"1000000US470370101042014","Block 2014, Block Group 2, Census Tract 101.04, Davidson County, Tennessee","73","73","0"
"1000000US470370101042015","Block 2015, Block Group 2, Census Tract 101.04, Davidson County, Tennessee","3","1","2"
"1000000US470370101042016","Block 2016, Block Group 2, Census Tract 101.04, Davidson County, Tennessee","81","80","1"
"1000000US470370101042017","Block 2017, Block Group 2, Census Tract 101.04, Davidson County, Tennessee","31","29","2"
"1000000US470370101042018","Block 2018, Block Group 2, Census Tract 101.04, Davidson County, Tennessee","18","18","0"
"1000000US470370101042019","Block 2019, Block Group 2, Census Tract 101.04, Davidson County, Tennessee","2","2","0"
"1000000US470370101042020","Block 2020, Block Group 2, Census Tract 101.04, Davidson County, Tennessee","35","35","0"
"1000000US470370101042021","Block 2021, Block Group 2, Census Tract 101.04, Davidson County, Tennessee","6","6","0"
"1000000US470370101042022","Block 2022, Block Group 2, Census Tract 101.04, Davidson County, Tennessee","1","1","0"
"1000000US470370101051000","Block 1000, Block Group 1, Census Tract 101.05, Davidson County, Tennessee","177","175","2"
"1000000US470370101051001","Block 1001, Block Group 1, Census Tract 101.05, Davidson County, Tennessee","7","7","0"
"1000000US470370101051002","Block 1002, Block Group 1, Census Tract 101.05, Davidson County, Tennessee","18","11","7"
"1000000US470370101051003","Block 1003, Block Group 1, Census Tract 101.05, Davidson County, Tennessee","2","2","0"
"1000000US470370101051004","Block 1004, Block Group 1, Census Tract 101.05, Davidson County, Tennessee","33","33","0"
"1000000US470370101051005","Block 1005, Block Group 1, Census Tract 101.05, Davidson County, Tennessee","35","35","0"
"1000000US470370101051006","Block 1006, Block Group 1, Census Tract 101.05, Davidson County, Tennessee","45","45","0"
"1000000US470370101051007","Block 1007, Block Group 1, Census Tract 101.05, Davidson County, Tennessee","0","0","0"
"1000000US470370101052000","Block 2000, Block Group 2, Census Tract 101.05, Davidson County, Tennessee","89","84","5"
"1000000US470370101052001","Block 2001, Block Group 2, Census Tract 101.05, Davidson County, Tennessee","4","4","0"
"1000000US470370101052002","Block 2002, Block Group 2, Census Tract 101.05, Davidson County, Tennessee","23","21","2"
"1000000US470370101052003","Block 2003, Block Group 2, Census Tract 101.05, Davidson County, Tennessee","179","167","12"
